41,Blush Pink Lounge Set,Soft pastel lounge set offering both comfort and elegance for casual indoor and outdoor wear.,Women,FashionHub,1599,30,4.44,images/women\img3.jfif
42,Emerald Green Wrap Dress,Chic wrap dress featuring a flattering silhouette suitable for parties and evening events.,Women,FashionHub,2299,18,4.12,images/women\img4.jpg
27,Luxury Fashion Hair Clip Collection,Stylish assortment of trendy hair clips suitable for everyday and festive wear.,Accessories,FashionHub,599,40,4.5,images/accessories\images.jpg.jfif
28,Pearl Hair Brooch,"Elegant pearl hair accessory, perfect for weddings and festive occasions.",Accessories,FashionHub,699,30,4.7,images/accessories\images (1).jpg
29,Crystal Butterfly Jewelry Set,Premium necklace and earrings set with a butterfly design for parties and special events.,Accessories,FashionHub,999,20,4.45,images/accessories\images 2.jpg
30,Black Pendant Necklace,Minimalist black pendant necklace crafted for a modern and elegant look.,Accessories,FashionHub,799,25,4.8,images/accessories\img3.jpg
33,Classic Leather Wallet,Premium leather wallet with multiple card slots and a sleek finish.,Accessories,FashionHub,899,35,4.71,images/accessories\img4.jpg.jfif
34,Satin Hair Scrunchie Set,Soft satin scrunchies designed to reduce hair breakage while adding style.,Accessories,FashionHub,399,50,4.37,images/accessories\img5.jpg.jfif
35,Casual Pink Linen Shirt,"Stylish pink linen shirt paired with white trousers, perfect for casual outings and summer wear.",Men,FashionHub,1499,30,4.83,images/men\img1.jpg.jfif
37,Oversized White Co-ord Set,"Trendy oversized white shirt with matching trousers, offering a modern minimalist look.",Men,FashionHub,1899,25,4.56,images/men\img2.jpf.jfif
38,Oversized Sky Blue Linen Shirt,Premium oversized Sky Blue Linen shirt styled with black trousers for a fashionable streetwear appearance.,Men,FashionHub,1999,22,4.7,images/men\img4.jpg.jpg
39,Elegant Pastel Yellow Co-Ord Set ,"Sophisticated sleeveless Pastel Yellow Co-Ord Set designed for vacations, brunches, and evening outings.",Women,FashionHub,2199,20,4.77,images/women\img1.jfif
40,Floral Summer Co-ord Set,Lightweight floral top and shorts set crafted for maximum comfort during warm weather.,Women,FashionHub,1699,28,4.86,images/women\img2.jfif
43,Striped Winter Sweater Outfit,Cozy striped knit sweater paired with denim for a timeless winter fashion statement.,Women,FashionHub,1899,24,4.39,images/women\img5.jfif
44,Classic Black Bodycon Dress,"Elegant black bodycon dress crafted for formal dinners, parties, and special occasions.",Women,FashionHub,2499,15,4.67,images/women\img6.jfif
45,Princess Blue Party Gown,"Beautiful sky-blue princess gown designed for birthdays, weddings, and festive celebrations.",Kids,FashionHub Kids,1499,18,4.09,images/kids\img1.jpg.jfif
46,Red Party Dress,Vibrant red sleeveless dress with floral detailing for special occasions.,Kids,FashionHub Kids,1299,25,4.24,images/kids\img2.jpg.webp
47,Boys Formal Suit Set,"Stylish formal suit perfect for weddings, school functions, and celebrations.",Kids,FashionHub Kids,1999,20,4.02,images/kids\img3.jpg.jpg
48,Orange Casual T-Shirt Set,"Comfortable cotton T-shirt paired with shorts, ideal for everyday summer adventures.",Kids,FashionHub Kids,799,35,4.37,images/kids\img4.jpg
49,Green Princess Ball Gown,Luxurious emerald green ball gown with elegant detailing for premium party wear.,Kids,FashionHub Kids,2199,12,3.88,images/kids\img5.jpg
50,Women's Silver Sandals,Elegant metallic flat sandals suitable for festive and casual occasions.,Footwear,FashionHub,1299,35,4.14,images/footwear\img1.jpg.jfif
51,Black Pointed Toe Heels,Sophisticated pointed heels designed for office wear and evening parties.,Footwear,FashionHub,2299,20,4.28,images/footwear\img2.jpg.jfif
53,Shimmer Silver Party Heels,Comfortable shimmer silver party heels combining elegance with all-day support.,Footwear,FashionHub,2199,22,4.5,images/footwear\img3.jpg
54,Grey Loafers,Stylish slip-on loafers offering everyday comfort and a modern look.,Footwear,FashionHub,1799,28,4.69,images/footwear\img4.jpg
55,Brown Leather Ankle Boots,Premium ankle boots crafted from high-quality leather for winter fashion.,Footwear,FashionHub,2999,18,4.27,images/footwear\img5.jpg
56,Blue Running Shoes,Lightweight running shoes featuring breathable mesh and cushioned soles.,Footwear,FashionHub,2499,30,4.48,images/footwear\img6.jpg
57,Brown Leather Formal Shoes,Premium leather formal shoes with polished finish for business attire.,Footwear,FashionHub,3199,20,3.98,images/footwear\img7.jpg
58,Black Leather Slip-On Shoes,Comfortable leather slip-ons offering timeless style and everyday durability.,Footwear,FashionHub,2899,24,4.15,images/footwear\img8.jpg
59,White Linen Summer Set,Relaxed white linen outfit designed to keep you cool during hot summer days,Summer,FashionHub,1899,22,4.24,images/summer\images.jfif
60,Summer Casual Outfit,Lightweight shirt paired with shorts for effortless summer styling,Summer,FashionHub,1499,30,3.91,images/summer\img1.jfif
64,Oversized Vacation Outfit,"Chic sleeveless top with shorts, perfect for vacations and beach walks.",Summer,FashionHub,1599,28,4.33,images/summer\img2.jfif
66,White Crop Top & Shorts,Casual crop top and shorts set designed for everyday summer comfort.,Summer,FashionHub,1299,30,4.33,images/summer\img3.jpg
67,Red Check Casual Shirt,Classic red check shirt styled for relaxed weekend outings.,Summer,FashionHub,1299,30,3.73,images/summer\img4.jfif
68,Brown Resort Shirt,Lightweight open-collar shirt ideal for holidays and casual evenings.,Summer,FashionHub,899,24,4.01,images/summer\img4.jpg
69,Brown Checked Casual Shirt,Comfortable checked shirt crafted from breathable fabric for daily wear.,Summer,FashionHub,1399,25,4.32,images/summer\img5.jfif
70,Long Camel Winter Coat,Elegant full-length camel coat providing warmth with timeless winter style.,Winter,FashionHub,4999,18,4.52,images/winter\img1.jpg
71,Pink Knit Winter Outfit,Cozy knitted sweater paired with a stylish skirt and boots for fashionable winter wear.,Winter,FashionHub,2499,20,4.41,images/winter\img2.jpg
72,Brown Hooded Puffer Jacket,Warm hooded puffer jacket featuring insulated padding for cold-weather protection.,Winter,FashionHub,3499,22,4.09,images/winter\img3.jfif
